OID_,STATEFP,COUNTYFP,COUSUBFP,COUSUBNS,AFFGEOID,GEOID,NAME,NAMELSAD,STUSPS,NAMELSADCO,STATE_NAME,LSAD,ALAND,AWATER
1,09,140,67610,00213502,0600000US0914067610,0914067610,Seymour,Seymour town,CT,Naugatuck Valley Planning Region,Connecticut,43,37600679.000000000000000,1190094.000000000000000
2,25,027,03740,00619475,0600000US2502703740,2502703740,Barre,Barre town,MA,Worcester County,Massachusetts,43,114858654.000000000000000,718803.000000000000000
3,33,013,78580,00873745,0600000US3301378580,3301378580,Warner,Warner town,NH,Merrimack County,New Hampshire,43,143044008.000000000000000,643526.000000000000000
4,50,025,76225,01462241,0600000US5002576225,5002576225,Wardsboro,Wardsboro town,VT,Windham County,Vermont,43,75685009.000000000000000,84589.000000000000000
5,33,013,84900,00873755,0600000US3301384900,3301384900,Wilmot,Wilmot town,NH,Merrimack County,New Hampshire,43,76180095.000000000000000,534722.000000000000000
6,25,017,01955,00618214,0600000US2501701955,2501701955,Ashby,Ashby town,MA,Middlesex County,Massachusetts,43,61290670.000000000000000,1000254.000000000000000
7,50,003,01450,01462027,0600000US5000301450,5000301450,Arlington,Arlington town,VT,Bennington County,Vermont,43,108847991.000000000000000,491791.000000000000000
8,25,015,26535,00618200,0600000US2501526535,2501526535,Granby,Granby town,MA,Hampshire County,Massachusetts,43,72048765.000000000000000,666977.000000000000000
9,25,017,40115,00619406,0600000US2501740115,2501740115,Melrose,Melrose city,MA,Middlesex County,Massachusetts,25,12129681.000000000000000,219702.000000000000000
10,33,011,79780,00873749,0600000US3301179780,3301179780,Weare,Weare town,NH,Hillsborough County,New Hampshire,43,152981933.000000000000000,2681923.000000000000000
11,09,190,63970,00213496,0600000US0919063970,0919063970,Ridgefield,Ridgefield town,CT,Western Connecticut Planning Region,Connecticut,43,89355361.000000000000000,1289098.000000000000000
12,25,017,72600,00618241,0600000US2501772600,2501772600,Waltham,Waltham city,MA,Middlesex County,Massachusetts,25,33008228.000000000000000,2634711.000000000000000
13,50,025,73300,01462229,0600000US5002573300,5002573300,Townshend,Townshend town,VT,Windham County,Vermont,43,109511616.000000000000000,1162294.000000000000000
14,50,025,36175,01462126,0600000US5002536175,5002536175,Jamaica,Jamaica town,VT,Windham County,Vermont,43,126769896.000000000000000,1387234.000000000000000
15,09,110,74540,00212351,0600000US0911074540,0911074540,Suffield,Suffield town,CT,Capitol Planning Region,Connecticut,43,109525831.000000000000000,1739693.000000000000000
16,09,130,14300,00213407,0600000US0913014300,0913014300,Chester,Chester town,CT,Lower Connecticut River Valley Planning Region,Connecticut,43,41573119.000000000000000,2010913.000000000000000
17,25,027,58825,00618381,0600000US2502758825,2502758825,Rutland,Rutland town,MA,Worcester County,Massachusetts,43,90974490.000000000000000,2946993.000000000000000
18,25,023,57775,00618351,0600000US2502357775,2502357775,Rockland,Rockland town,MA,Plymouth County,Massachusetts,43,25975560.000000000000000,238552.000000000000000
19,09,150,09190,00213400,0600000US0915009190,0915009190,Brooklyn,Brooklyn town,CT,Northeastern Connecticut Planning Region,Connecticut,43,75454825.000000000000000,282000.000000000000000
20,25,011,29475,00619380,0600000US2501129475,2501129475,Hawley,Hawley town,MA,Franklin County,Massachusetts,43,78962706.000000000000000,124804.000000000000000
21,25,027,41340,00618373,0600000US2502741340,2502741340,Millbury,Millbury town,MA,Worcester County,Massachusetts,43,40702072.000000000000000,1887555.000000000000000
22,25,023,57600,00618350,0600000US2502357600,2502357600,Rochester,Rochester town,MA,Plymouth County,Massachusetts,43,86945154.000000000000000,6376775.000000000000000
23,33,013,43380,00873652,0600000US3301343380,3301343380,Loudon,Loudon town,NH,Merrimack County,New Hampshire,43,119549179.000000000000000,1448517.000000000000000
24,33,017,26020,00873596,0600000US3301726020,3301726020,Farmington,Farmington town,NH,Strafford County,New Hampshire,43,94758834.000000000000000,909784.000000000000000
25,25,027,05490,00619476,0600000US2502705490,2502705490,Berlin,Berlin town,MA,Worcester County,Massachusetts,43,33597231.000000000000000,521374.000000000000000
26,33,011,68820,00873719,0600000US3301168820,3301168820,Sharon,Sharon town,NH,Hillsborough County,New Hampshire,43,40561509.000000000000000,0.000000000000000
27,09,110,72090,00212349,0600000US0911072090,0911072090,Stafford,Stafford town,CT,Capitol Planning Region,Connecticut,43,150316815.000000000000000,1868958.000000000000000
28,09,150,78600,00213521,0600000US0915078600,0915078600,Voluntown,Voluntown town,CT,Northeastern Connecticut Planning Region,Connecticut,43,100924002.000000000000000,2137004.000000000000000
29,25,003,51580,00619422,0600000US2500351580,2500351580,Otis,Otis town,MA,Berkshire County,Massachusetts,43,92103754.000000000000000,6462456.000000000000000
30,33,019,72740,00873723,0600000US3301972740,3301972740,Springfield,Springfield town,NH,Sullivan County,New Hampshire,43,112960363.000000000000000,2295098.000000000000000
31,36,111,58552,00979375,0600000US3611158552,3611158552,Plattekill,Plattekill town,NY,Ulster County,New York,43,90936208.000000000000000,1626369.000000000000000
32,33,005,29220,00873605,0600000US3300529220,3300529220,Gilsum,Gilsum town,NH,Cheshire County,New Hampshire,43,43173111.000000000000000,55764.000000000000000
33,09,110,69220,00212346,0600000US0911069220,0911069220,Somers,Somers town,CT,Capitol Planning Region,Connecticut,43,73701162.000000000000000,304027.000000000000000
34,25,009,38400,00618300,0600000US2500938400,2500938400,Marblehead,Marblehead town,MA,Essex County,Massachusetts,43,11340917.000000000000000,39374816.000000000000000
35,09,140,04930,00213391,0600000US0914004930,0914004930,Bethlehem,Bethlehem town,CT,Naugatuck Valley Planning Region,Connecticut,43,50181138.000000000000000,740227.000000000000000
36,33,015,39780,00873636,0600000US3301539780,3301539780,Kensington,Kensington town,NH,Rockingham County,New Hampshire,43,30993369.000000000000000,36676.000000000000000
37,36,027,58695,00979378,0600000US3602758695,3602758695,Pleasant Valley,Pleasant Valley town,NY,Dutchess County,New York,43,84420782.000000000000000,1463132.000000000000000
38,44,007,64220,01220077,0600000US4400764220,4400764220,Scituate,Scituate town,RI,Providence County,Rhode Island,43,124665549.000000000000000,17111431.000000000000000
39,25,001,19295,00619414,0600000US2500119295,2500119295,Eastham,Eastham town,MA,Barnstable County,Massachusetts,43,36176093.000000000000000,30406552.000000000000000
40,09,190,04720,00213390,0600000US0919004720,0919004720,Bethel,Bethel town,CT,Western Connecticut Planning Region,Connecticut,43,43918190.000000000000000,156161.000000000000000
41,25,005,56375,00619437,0600000US2500556375,2500556375,Rehoboth,Rehoboth town,MA,Bristol County,Massachusetts,43,121557135.000000000000000,1409688.000000000000000
42,33,011,01300,00873531,0600000US3301101300,3301101300,Amherst,Amherst town,NH,Hillsborough County,New Hampshire,43,87814959.000000000000000,1324708.000000000000000
43,25,003,73335,00618275,0600000US2500373335,2500373335,Washington,Washington town,MA,Berkshire County,Massachusetts,43,98423701.000000000000000,2118463.000000000000000
44,25,001,51440,00618257,0600000US2500151440,2500151440,Orleans,Orleans town,MA,Barnstable County,Massachusetts,43,36683278.000000000000000,22167409.000000000000000
45,25,001,70605,00618260,0600000US2500170605,2500170605,Truro,Truro town,MA,Barnstable County,Massachusetts,43,54268861.000000000000000,13686727.000000000000000
46,23,031,41750,00582572,0600000US2303141750,2303141750,Lyman,Lyman town,ME,York County,Maine,43,101010905.000000000000000,3856821.000000000000000
47,23,031,54980,00582646,0600000US2303154980,2303154980,Ogunquit,Ogunquit town,ME,York County,Maine,43,10572995.000000000000000,28651539.000000000000000
48,33,019,30500,00873608,0600000US3301930500,3301930500,Goshen,Goshen town,NH,Sullivan County,New Hampshire,43,58119030.000000000000000,238931.000000000000000
49,33,019,41700,00873645,0600000US3301941700,3301941700,Lempster,Lempster town,NH,Sullivan County,New Hampshire,43,83773804.000000000000000,1032327.000000000000000
50,33,015,09300,00873558,0600000US3301509300,3301509300,Candia,Candia town,NH,Rockingham County,New Hampshire,43,78575353.000000000000000,590885.000000000000000
51,33,015,12100,00873564,0600000US3301512100,3301512100,Chester,Chester town,NH,Rockingham County,New Hampshire,43,67365786.000000000000000,293102.000000000000000
52,33,015,32900,00873615,0600000US3301532900,3301532900,Hampstead,Hampstead town,NH,Rockingham County,New Hampshire,43,34757270.000000000000000,1723006.000000000000000
53,33,015,64020,00873705,0600000US3301564020,3301564020,Raymond,Raymond town,NH,Rockingham County,New Hampshire,43,74638524.000000000000000,2059124.000000000000000
54,36,083,58805,00979380,0600000US3608358805,3608358805,Poestenkill,Poestenkill town,NY,Rensselaer County,New York,43,83800353.000000000000000,569487.000000000000000
55,36,083,65013,00979455,0600000US3608365013,3608365013,Sand Lake,Sand Lake town,NY,Rensselaer County,New York,43,90776595.000000000000000,2899999.000000000000000
56,09,110,24800,00212329,0600000US0911024800,0911024800,East Windsor,East Windsor town,CT,Capitol Planning Region,Connecticut,43,67989003.000000000000000,1466611.000000000000000
57,09,160,37140,00213443,0600000US0916037140,0916037140,Hartland,Hartland town,CT,Northwest Hills Planning Region,Connecticut,43,85456173.000000000000000,3932194.000000000000000
58,09,130,18080,00213414,0600000US0913018080,0913018080,Cromwell,Cromwell town,CT,Lower Connecticut River Valley Planning Region,Connecticut,43,32251180.000000000000000,1291345.000000000000000
59,09,130,47080,00213460,0600000US0913047080,0913047080,Middlefield,Middlefield town,CT,Lower Connecticut River Valley Planning Region,Connecticut,43,32759592.000000000000000,1581755.000000000000000
60,09,170,53890,00213477,0600000US0917053890,0917053890,North Branford,North Branford town,CT,South Central Connecticut Planning Region,Connecticut,43,64123452.000000000000000,4939189.000000000000000
61,09,150,61030,00213490,0600000US0915061030,0915061030,Pomfret,Pomfret town,CT,Northeastern Connecticut Planning Region,Connecticut,43,104451274.000000000000000,647536.000000000000000
62,33,013,01460,00873532,0600000US3301301460,3301301460,Andover,Andover town,NH,Merrimack County,New Hampshire,43,103983735.000000000000000,2318298.000000000000000
63,33,013,19460,00873583,0600000US3301319460,3301319460,Dunbarton,Dunbarton town,NH,Merrimack County,New Hampshire,43,79934537.000000000000000,1197090.000000000000000
64,33,013,52100,00873682,0600000US3301352100,3301352100,New London,New London town,NH,Merrimack County,New Hampshire,43,57859674.000000000000000,7978406.000000000000000
65,33,013,75460,00873734,0600000US3301375460,3301375460,Sutton,Sutton town,NH,Merrimack County,New Hampshire,43,110214586.000000000000000,2024426.000000000000000
66,09,160,02760,00213386,0600000US0916002760,0916002760,Barkhamsted,Barkhamsted town,CT,Northwest Hills Planning Region,Connecticut,43,93896736.000000000000000,6671465.000000000000000
67,09,160,32290,00213433,0600000US0916032290,0916032290,Goshen,Goshen town,CT,Northwest Hills Planning Region,Connecticut,43,113004839.000000000000000,4028683.000000000000000
68,09,160,79510,00213523,0600000US0916079510,0916079510,Warren,Warren town,CT,Northwest Hills Planning Region,Connecticut,43,68132140.000000000000000,3219783.000000000000000
69,09,140,87910,00213540,0600000US0914087910,0914087910,Woodbury,Woodbury town,CT,Naugatuck Valley Planning Region,Connecticut,43,94168480.000000000000000,736698.000000000000000
70,33,017,19700,00873584,0600000US3301719700,3301719700,Durham,Durham town,NH,Strafford County,New Hampshire,43,58048555.000000000000000,6096742.000000000000000
71,09,130,57040,00213483,0600000US0913057040,0913057040,Old Lyme,Old Lyme town,CT,Lower Connecticut River Valley Planning Region,Connecticut,43,59605004.000000000000000,15039277.000000000000000
72,25,011,02095,00619377,0600000US2501102095,2501102095,Ashfield,Ashfield town,MA,Franklin County,Massachusetts,43,103584075.000000000000000,649906.000000000000000
73,25,011,15200,00618161,0600000US2501115200,2501115200,Conway,Conway town,MA,Franklin County,Massachusetts,43,97696511.000000000000000,409457.000000000000000
74,25,011,29650,00618167,0600000US2501129650,2501129650,Heath,Heath town,MA,Franklin County,Massachusetts,43,64496240.000000000000000,97646.000000000000000
75,25,011,73265,00618177,0600000US2501173265,2501173265,Warwick,Warwick town,MA,Franklin County,Massachusetts,43,96733119.000000000000000,807713.000000000000000
76,25,013,28075,00618184,0600000US2501328075,2501328075,Hampden,Hampden town,MA,Hampden County,Massachusetts,43,50791584.000000000000000,77618.000000000000000
77,25,013,58650,00618190,0600000US2501358650,2501358650,Russell,Russell town,MA,Hampden County,Massachusetts,43,45253983.000000000000000,1119374.000000000000000
78,50,021,47425,01462156,0600000US5002147425,5002147425,Mount Tabor,Mount Tabor town,VT,Rutland County,Vermont,43,114239500.000000000000000,371441.000000000000000
79,44,007,11800,01220081,0600000US4400711800,4400711800,Burrillville,Burrillville town,RI,Providence County,Rhode Island,43,142228409.000000000000000,5397022.000000000000000
80,44,007,30340,01220070,0600000US4400730340,4400730340,Glocester,Glocester town,RI,Providence County,Rhode Island,43,140463699.000000000000000,6914230.000000000000000
81,44,007,66200,01219817,0600000US4400766200,4400766200,Smithfield,Smithfield town,RI,Providence County,Rhode Island,43,67938931.000000000000000,3673454.000000000000000
82,25,003,13345,00618264,0600000US2500313345,2500313345,Cheshire,Cheshire town,MA,Berkshire County,Massachusetts,43,69442567.000000000000000,1833959.000000000000000
83,25,003,21360,00618265,0600000US2500321360,2500321360,Egremont,Egremont town,MA,Berkshire County,Massachusetts,43,48347232.000000000000000,618506.000000000000000
84,25,003,42460,00618270,0600000US2500342460,2500342460,Monterey,Monterey town,MA,Berkshire County,Massachusetts,43,68464303.000000000000000,2509938.000000000000000
85,25,003,71095,00619429,0600000US2500371095,2500371095,Tyringham,Tyringham town,MA,Berkshire County,Massachusetts,43,48263974.000000000000000,585219.000000000000000
86,25,003,79985,00619430,0600000US2500379985,2500379985,Williamstown,Williamstown town,MA,Berkshire County,Massachusetts,43,121037735.000000000000000,314830.000000000000000
87,33,011,27140,00873598,0600000US3301127140,3301127140,Francestown,Francestown town,NH,Hillsborough County,New Hampshire,43,77217363.000000000000000,1454953.000000000000000
88,33,011,46260,00873661,0600000US3301146260,3301146260,Mason,Mason town,NH,Hillsborough County,New Hampshire,43,61990098.000000000000000,143147.000000000000000
89,33,011,51940,00873681,0600000US3301151940,3301151940,New Ipswich,New Ipswich town,NH,Hillsborough County,New Hampshire,43,84763267.000000000000000,829429.000000000000000
90,33,011,85220,00873756,0600000US3301185220,3301185220,Wilton,Wilton town,NH,Hillsborough County,New Hampshire,43,66331989.000000000000000,234112.000000000000000
91,25,017,07350,00618218,0600000US2501707350,2501707350,Boxborough,Boxborough town,MA,Middlesex County,Massachusetts,43,26636068.000000000000000,317226.000000000000000
92,25,017,35215,00619401,0600000US2501735215,2501735215,Lexington,Lexington town,MA,Middlesex County,Massachusetts,43,42561080.000000000000000,533688.000000000000000
93,25,017,39625,00618229,0600000US2501739625,2501739625,Maynard,Maynard town,MA,Middlesex County,Massachusetts,43,13495144.000000000000000,403151.000000000000000
94,25,017,76135,00618244,0600000US2501776135,2501776135,Westford,Westford town,MA,Middlesex County,Massachusetts,43,78332298.000000000000000,2895769.000000000000000
95,50,027,56050,01462176,0600000US5002756050,5002756050,Plymouth,Plymouth town,VT,Windsor County,Vermont,43,124771309.000000000000000,1452036.000000000000000
96,50,027,83050,01462257,0600000US5002783050,5002783050,West Windsor,West Windsor town,VT,Windsor County,Vermont,43,64025415.000000000000000,236018.000000000000000
97,25,009,27620,00618298,0600000US2500927620,2500927620,Groveland,Groveland town,MA,Essex County,Massachusetts,43,22999252.000000000000000,1338979.000000000000000
98,25,009,59245,00618310,0600000US2500959245,2500959245,Salisbury,Salisbury town,MA,Essex County,Massachusetts,43,39817066.000000000000000,6241763.000000000000000
99,50,025,01900,01462028,0600000US5002501900,5002501900,Athens,Athens town,VT,Windham County,Vermont,43,36137937.000000000000000,197266.000000000000000
100,50,025,31150,01462113,0600000US5002531150,5002531150,Halifax,Halifax town,VT,Windham County,Vermont,43,102868738.000000000000000,249724.000000000000000
101,50,025,43375,01462143,0600000US5002543375,5002543375,Marlboro,Marlboro town,VT,Windham County,Vermont,43,104503689.000000000000000,984267.000000000000000
102,50,025,65762,01462211,0600000US5002565762,5002565762,Somerset,Somerset town,VT,Windham County,Vermont,43,65607721.000000000000000,5895000.000000000000000
103,25,021,25172,00618321,0600000US2502125172,2502125172,Franklin Town,Franklin Town city,MA,Norfolk County,Massachusetts,25,68994894.000000000000000,1009207.000000000000000
104,25,021,82315,00618334,0600000US2502182315,2502182315,Wrentham,Wrentham town,MA,Norfolk County,Massachusetts,43,56219361.000000000000000,2341255.000000000000000
105,25,023,33220,00619469,0600000US2502333220,2502333220,Kingston,Kingston town,MA,Plymouth County,Massachusetts,43,48286878.000000000000000,4766946.000000000000000
106,25,023,79530,00618355,0600000US2502379530,2502379530,Whitman,Whitman town,MA,Plymouth County,Massachusetts,43,17962857.000000000000000,59307.000000000000000
107,36,001,79851,00979619,0600000US3600179851,3600179851,Westerlo,Westerlo town,NY,Albany County,New York,43,149682689.000000000000000,1926625.000000000000000
108,36,093,59861,00979399,0600000US3609359861,3609359861,Princetown,Princetown town,NY,Schenectady County,New York,43,62074250.000000000000000,645424.000000000000000
109,36,115,32457,00979053,0600000US3611532457,3611532457,Hartford,Hartford town,NY,Washington County,New York,43,112334419.000000000000000,261211.000000000000000
110,36,039,49935,00979255,0600000US3603949935,3603949935,New Baltimore,New Baltimore town,NY,Greene County,New York,43,107278764.000000000000000,4145980.000000000000000
111,36,027,56825,00979347,0600000US3602756825,3602756825,Pawling,Pawling town,NY,Dutchess County,New York,43,113877214.000000000000000,3082413.000000000000000
112,36,027,76166,00979573,0600000US3602776166,3602776166,Union Vale,Union Vale town,NY,Dutchess County,New York,43,95847919.000000000000000,837269.000000000000000
113,36,079,68924,00979507,0600000US3607968924,3607968924,Southeast,Southeast town,NY,Putnam County,New York,43,82153980.000000000000000,8391266.000000000000000
114,36,091,04220,00978707,0600000US3609104220,3609104220,Ballston,Ballston town,NY,Saratoga County,New York,43,76602417.000000000000000,1196343.000000000000000
115,36,091,47537,00979221,0600000US3609147537,3609147537,Milton,Milton town,NY,Saratoga County,New York,43,92436235.000000000000000,165980.000000000000000
116,09,190,68310,00213505,0600000US0919068310,0919068310,Sherman,Sherman town,CT,Western Connecticut Planning Region,Connecticut,43,56757602.000000000000000,3967080.000000000000000
117,50,003,17725,01462082,0600000US5000317725,5000317725,Dorset,Dorset town,VT,Bennington County,Vermont,43,122692452.000000000000000,334589.000000000000000
118,50,003,39025,01462131,0600000US5000339025,5000339025,Landgrove,Landgrove town,VT,Bennington County,Vermont,43,22934584.000000000000000,103716.000000000000000
119,50,003,42850,01462142,0600000US5000342850,5000342850,Manchester,Manchester town,VT,Bennington County,Vermont,43,108660996.000000000000000,322064.000000000000000
120,25,015,16040,00618198,0600000US2501516040,2501516040,Cummington,Cummington town,MA,Hampshire County,Massachusetts,43,59408393.000000000000000,332330.000000000000000
