"","GEOID","OID_","STATEFP","COUNTYFP","COUSUBFP","COUSUBNS","AFFGEOID","NAME.x","NAMELSAD","STUSPS","NAMELSADCO","STATE_NAME","LSAD","ALAND","AWATER","NAME.y","variable","estimate","moe"
"1","0911001080",239,"09","110","01080","00213382","0600000US0911001080","Andover","Andover town","CT","Capitol Planning Region","Connecticut",43,40012484,635900,NA,NA,NA,NA
"2","0911002060",337,"09","110","02060","00213385","0600000US0911002060","Avon","Avon town","CT","Capitol Planning Region","Connecticut",43,59982586,1118863,NA,NA,NA,NA
"3","0911004300",747,"09","110","04300","00213388","0600000US0911004300","Berlin","Berlin town","CT","Capitol Planning Region","Connecticut",43,68147323,1744874,NA,NA,NA,NA
"4","0911005910",147,"09","110","05910","00213392","0600000US0911005910","Bloomfield","Bloomfield town","CT","Capitol Planning Region","Connecticut",43,67562264,430688,NA,NA,NA,NA
"5","0911006260",265,"09","110","06260","00213393","0600000US0911006260","Bolton","Bolton town","CT","Capitol Planning Region","Connecticut",43,37314557,766251,NA,NA,NA,NA
"6","0911012270",150,"09","110","12270","00213404","0600000US0911012270","Canton","Canton town","CT","Capitol Planning Region","Connecticut",43,63676508,1137667,NA,NA,NA,NA
"7","0911016400",746,"09","110","16400","00213411","0600000US0911016400","Columbia","Columbia town","CT","Capitol Planning Region","Connecticut",43,55355051,1587988,NA,NA,NA,NA
"8","0911017800",889,"09","110","17800","00213413","0600000US0911017800","Coventry","Coventry town","CT","Capitol Planning Region","Connecticut",43,97308019,1744460,NA,NA,NA,NA
"9","0911022070",749,"09","110","22070","00213421","0600000US0911022070","East Granby","East Granby town","CT","Capitol Planning Region","Connecticut",43,45443300,261880,NA,NA,NA,NA
"10","0911022630",910,"09","110","22630","00213424","0600000US0911022630","East Hartford","East Hartford town","CT","Capitol Planning Region","Connecticut",43,46638315,1904155,NA,NA,NA,NA
"11","0911024800",56,"09","110","24800","00212329","0600000US0911024800","East Windsor","East Windsor town","CT","Capitol Planning Region","Connecticut",43,67989003,1466611,NA,NA,NA,NA
"12","0911025360",653,"09","110","25360","00212330","0600000US0911025360","Ellington","Ellington town","CT","Capitol Planning Region","Connecticut",43,88164953,1380866,NA,NA,NA,NA
"13","0911025990",401,"09","110","25990","00212332","0600000US0911025990","Enfield","Enfield town","CT","Capitol Planning Region","Connecticut",43,86292324,2446885,NA,NA,NA,NA
"14","0911027600",750,"09","110","27600","00213430","0600000US0911027600","Farmington","Farmington town","CT","Capitol Planning Region","Connecticut",43,72265587,2271280,NA,NA,NA,NA
